,sentiment_scores,times
0,[-0.15854748384033462],2006-10-20
1,[0.0],2006-10-21
2,"[-0.6818488136581753, 0.0]",2006-10-23
3,"[-0.4595161032676697, -0.813238263130188, 0.8709335188182552, 0.32869993772120837]",2006-10-24
4,"[-0.7924697727853367, -0.5260841946532256]",2006-10-25
5,"[-0.6338691711425781, 0.7766614826807535, 0.9154861580442499, -0.2826584170806611]",2006-10-27
6,"[-0.5538718753001269, 0.0, -0.9474145809930147]",2006-10-30
7,"[-0.9201803803443909, 0.10692936686078287, 0.8829785923572425]",2006-11-01
8,"[0.08668723179020763, 0.5232361771600663]",2006-11-02
9,"[0.0, -0.5257948637008667, -0.4850765066121214]",2006-11-03
10,"[0.0, -0.8404495220544727, 0.7476177369809215, 0.3330827502794163]",2006-11-07
11,"[-0.8678428827688611, 0.0, 0.0, -0.7323364650501925]",2006-11-08
12,"[0.8088325066140076, -0.8161788696919695, 0.93264918043946]",2006-11-09
13,"[-0.36131022147488495, 0.0, 0.0]",2006-11-10
14,"[-0.6419375134365899, 0.9442647933751916, 0.0, 0.6635262408126188]",2006-11-13
15,"[0.4554616277653853, 0.0]",2006-11-14
16,[0.0],2006-11-15
17,"[0.8669288973265057, 0.0]",2006-11-16
18,[0.05945987482303825],2006-11-17
19,"[0.0, -0.966584802865982, -0.35287472133636477]",2006-11-20
20,"[-0.7349402127442537, 0.0, 0.49997441316070856]",2006-11-21
21,"[0.0, 0.28704395575552993]",2006-11-22
22,"[0.729793931882615, 0.11767097331390097]",2006-11-23
23,[0.32137414556822624],2006-11-24
24,[-0.9182508587837219],2006-11-27
25,"[-0.46135368767906637, 0.7686086768472652]",2006-11-29
26,[0.8867661030349617],2006-11-30
27,"[0.0, 0.0]",2006-12-01
28,[0.0],2006-12-04
29,[0.0],2006-12-05
30,[-0.9247660040855408],2006-12-06
31,[0.9082818627357483],2006-12-07
32,[-0.915433943271637],2006-12-08
33,[-0.6557908121918895],2006-12-09
34,"[-0.24856105037470358, -0.05020376802097962, 0.7640842573587284]",2006-12-11
35,[0.6697180867195129],2006-12-12
36,[0.49572577357292175],2006-12-13
37,[-0.9164886771748257],2006-12-14
38,"[0.3743072003987483, 0.0]",2006-12-15
39,"[0.8663679018616677, 0.4251001325704284]",2006-12-18
40,"[0.8256852626800537, 0.0, -0.6680685516814111, 0.0, 0.0]",2006-12-19
41,"[0.0, -0.6872966521126883]",2006-12-20
42,[-0.8003517389297485],2006-12-21
43,[0.0],2006-12-25
44,[-0.47024884616894125],2006-12-26
45,[-0.8475792335103387],2006-12-28
46,[0.0],2007-01-03
47,"[-0.7421664164952583, -0.28995267928078555]",2007-01-04
48,[-0.8895556460609229],2007-01-07
49,"[0.9157368204381207, 0.4110276245831417]",2007-01-08
50,"[-0.070725280454714, -0.8646462926006929, -0.8906446890205979, 0.0]",2007-01-09
51,"[0.0, 0.9169662594795227]",2007-01-10
52,"[0.853226485356434, -0.29269257032802337]",2007-01-11
53,[0.11303170229192756],2007-01-12
54,[0.0],2007-01-16
55,"[0.0, -0.7248710989952087, 0.807112438649666]",2007-01-18
56,[0.6925484538078308],2007-01-19
57,"[0.5405538622648864, -0.8900071978569031, -0.8539259577951124]",2007-01-22
58,"[0.5965135018720487, 0.0]",2007-01-23
59,"[-0.6847336429330476, 0.0, -0.3975690690910115, -0.26984706979978385]",2007-01-24
60,[-0.9657400250434875],2007-01-25
61,"[0.4330317597640188, -0.8522815896261587]",2007-01-26
62,[0.8463975890262707],2007-01-29
63,"[0.2402939465810668, 0.0, 0.0, -0.025485021083853966]",2007-01-30
64,"[-0.5320832012239232, 0.3278328273702876, -0.9534966349601746, 0.0, 0.0, -0.6260738779254366]",2007-01-31
65,"[0.3982372572547511, -0.46584828003593115]",2007-02-01
66,"[0.8082040722777204, 0.0]",2007-02-02
67,[0.0],2007-02-03
68,[0.8146549263441494],2007-02-04
69,"[-0.7121841907501221, 0.150935537106282, 0.0]",2007-02-05
70,"[0.0, 0.3653224185012252]",2007-02-06
71,"[0.19187110053168402, 0.0, 0.051376521787387414]",2007-02-07
72,"[0.6419769305283402, -0.30292640310345276, 0.7361102536434435, 0.30721320317137196, 0.7082179944393998]",2007-02-08
73,[-0.17515035230417464],2007-02-09
74,"[-0.46910925439773427, -0.26053569235430724, 0.30118087251135645, 0.6419535914325519, 0.9197425432575559]",2007-02-12
75,"[-0.3951090377161727, -0.7493085430728065]",2007-02-15
76,"[0.6217299363551996, -0.930546224117279, 0.0]",2007-02-16
77,[-0.8004583512908382],2007-02-20
78,[-0.7452012656857727],2007-02-21
79,[0.9291868309606298],2007-02-22
80,[0.03745188225943401],2007-02-23
81,"[-0.9430615003020675, -0.19501659469034688, 0.0, -0.9137802396382095, -0.36527615682832126]",2007-02-27
82,"[-0.9674678444862366, 0.5362227219481801]",2007-02-28
83,[-0.9598605227363002],2007-03-01
84,"[-0.6429490658241933, 0.6224332020200533]",2007-03-02
85,"[0.4316633653550608, 0.44410737071718487]",2007-03-05
86,"[-0.8971060514450073, 0.0]",2007-03-06
87,"[-0.8709734897585226, 0.5167748119871495, 0.0]",2007-03-07
88,"[0.7919956554066051, -0.24753915614696165, -0.6969337505354009, 0.9289596881159765, 0.1102582396882953, 0.23472974125274831, 0.9190775156021118]",2007-03-08
89,[-0.9478480190633646],2007-03-09
90,"[-0.14580017094518624, -0.8340147425521715]",2007-03-12
91,[0.0],2007-03-13
92,[-0.051087727701222455],2007-03-14
93,"[-0.6336950659751892, 0.793114960193634, -0.8778023719787598, 0.0, -0.04677498576423156, -0.6440686939224121]",2007-03-15
94,[-0.4413218256855799],2007-03-16
95,[0.0],2007-03-18
96,[0.6311085534578501],2007-03-19
97,"[-0.5658537745475769, -0.7316620349884033]",2007-03-20
98,"[-0.6981661675200235, 0.6773986186650235, -0.9726598858833313, -0.387239155161795, 0.0]",2007-03-21
99,"[0.8021524487709513, -0.8024013676683218, 0.03742978423833847, 0.0]",2007-03-22
