,sentiment_scores,times
0,[0.9061552542202164],2006-10-20
1,[0.0],2006-10-21
2,"[0.0, 0.0]",2006-10-23
3,"[0.0, 0.0, 0.9154197667421919, -0.4219877059749096]",2006-10-24
4,"[-0.3838500932949345, 0.0]",2006-10-25
5,"[0.0, 0.907037102394155, 0.9852216977150843, -0.023760236954643955]",2006-10-27
6,"[0.0, 0.0, -0.49349844999226394]",2006-10-30
7,"[0.0, 0.0, 0.0]",2006-11-01
8,"[-0.35605160170985806, 0.9994037341109305]",2006-11-02
9,"[0.0, 0.0, 0.0]",2006-11-03
10,"[0.0, 0.0, 0.17264726830299973, 0.3696472502523853]",2006-11-07
11,"[0.0, 0.0, 0.0, 0.0]",2006-11-08
12,"[0.7686590277578128, 0.0, 0.9999446318519607]",2006-11-09
13,"[0.0, 0.0, 0.0]",2006-11-10
14,"[0.0, 0.9958372468723676, 0.0, 0.981998852418061]",2006-11-13
15,"[0.0, 0.0]",2006-11-14
16,[0.0],2006-11-15
17,"[0.6398226129606304, 0.0]",2006-11-16
18,[0.0],2006-11-17
19,"[0.0, -0.9326768627762795, 0.0]",2006-11-20
20,"[0.0, 0.0, 0.0]",2006-11-21
21,"[0.0, 0.32711868256515597]",2006-11-22
22,"[0.3456555741551623, 0.0]",2006-11-23
23,[0.6093296476079328],2006-11-24
24,[0.0],2006-11-27
25,"[0.26225221332381754, 0.4912872659204729]",2006-11-29
26,[0.4298496474762877],2006-11-30
27,"[0.0, 0.0]",2006-12-01
28,[0.0],2006-12-04
29,[-0.37595080097748756],2006-12-05
30,[0.0],2006-12-06
31,[0.0],2006-12-07
32,[0.0],2006-12-08
33,[0.0],2006-12-09
34,"[0.0, 0.33196647584134736, 0.0]",2006-12-11
35,[0.0],2006-12-12
36,[0.0],2006-12-13
37,[-0.9291822620244691],2006-12-14
38,"[0.1524799583964265, 0.0]",2006-12-15
39,"[0.850692346598953, 0.47414841884273595]",2006-12-18
40,"[0.0, 0.0, 0.0, 0.0, 0.0]",2006-12-19
41,"[0.0, 0.0]",2006-12-20
42,[0.0],2006-12-21
43,[0.0],2006-12-25
44,[0.0],2006-12-26
45,[0.0],2006-12-28
46,[0.0],2007-01-03
47,"[0.0, 0.0]",2007-01-04
48,[0.0],2007-01-07
49,"[0.9964929897793056, 0.0]",2007-01-08
50,"[0.0, -0.5313007859652762, -0.41692785266923976, 0.0]",2007-01-09
51,"[0.0, 0.0]",2007-01-10
52,"[0.614794382786615, 0.0]",2007-01-11
53,[0.6027059529138648],2007-01-12
54,[0.9999603033065796],2007-01-16
55,"[0.0, 0.0, 0.0]",2007-01-18
56,[0.0],2007-01-19
57,"[0.9999993812348654, 0.0, 0.0]",2007-01-22
58,"[0.0, 0.0]",2007-01-23
59,"[0.22687969319578738, 0.0, 0.0, 0.999988458774708]",2007-01-24
60,[0.0],2007-01-25
61,"[0.0, -0.8744333772098317]",2007-01-26
62,[0.999994431154148],2007-01-29
63,"[0.7601250407830724, 0.0, 0.0, 0.4693758654906306]",2007-01-30
64,"[0.0, 0.0, 0.0, 0.6349244016793466, 0.0, 0.0]",2007-01-31
65,"[0.2680662865387766, 0.0]",2007-02-01
66,"[0.0, 0.0]",2007-02-02
67,[0.0],2007-02-03
68,[0.0],2007-02-04
69,"[0.0, 0.0, 0.0]",2007-02-05
70,"[0.0, 0.0]",2007-02-06
71,"[0.0, 0.0, 0.9999984888822441]",2007-02-07
72,"[0.0, 0.0, 0.23409596654295012, 0.0, 0.47072944317833854]",2007-02-08
73,[0.0],2007-02-09
74,"[0.0, 0.0, 0.0, 0.34560302478891697, 0.8926169976447392]",2007-02-12
75,"[0.0, 0.16131502158111996]",2007-02-15
76,"[0.0, 0.0, 0.0]",2007-02-16
77,[0.0],2007-02-20
78,[0.0],2007-02-21
79,[0.3104323156401835],2007-02-22
80,[0.0],2007-02-23
81,"[0.0, 0.0, 0.0, -0.6012812373089246, -0.38903900775416145]",2007-02-27
82,"[0.0, 0.0]",2007-02-28
83,[0.0],2007-03-01
84,"[0.0, 0.0]",2007-03-02
85,"[0.0, 0.0]",2007-03-05
86,"[0.0, 0.0]",2007-03-06
87,"[0.0, 0.0, 0.0]",2007-03-07
88,"[0.8181814280423251, 0.0, 0.0, 0.9504869426795822, 0.0, 0.30230942762504187, 0.9996069073677063]",2007-03-08
89,[-0.8704819465072964],2007-03-09
90,"[0.0, 0.0]",2007-03-12
91,[0.0],2007-03-13
92,[0.9713268809848361],2007-03-14
93,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2007-03-15
94,[0.0],2007-03-16
95,[-0.890152096748352],2007-03-18
96,[0.0],2007-03-19
97,"[0.0, 0.0]",2007-03-20
98,"[0.0, 0.0, -0.9999897480010986, 0.2624667961164791, 0.0]",2007-03-21
99,"[0.0, 0.0, 0.0, 0.0]",2007-03-22
100,[0.0],2007-03-23
101,"[0.0, 0.0, 0.0]",2007-03-26
102,"[-0.3870252375967765, 0.0]",2007-03-27
103,"[0.0, 0.0]",2007-03-28
104,"[0.2837803275921406, 0.6525315871756328, 0.0, 0.0, 0.0, 0.0, 0.30802947176354273]",2007-03-29
105,"[0.0, 0.0, 0.0]",2007-03-30
106,[0.414622518251527],2007-04-02
107,"[0.9992579817771912, 0.0]",2007-04-03
108,"[0.0, 0.0]",2007-04-04
109,"[0.8162102574422175, 0.0]",2007-04-05
110,[0.0],2007-04-06
