times,sentiment_scores
2006-10-20,[-0.9542459575923036]
2006-10-21,[-0.9570303238355197]
2006-10-23,"[-0.9927112082677888, -0.9917036611206678]"
2006-10-24,"[-0.9964825129508972, -0.9983683228492737, -0.3907289019461428, 0.13621324741771457]"
2006-10-25,"[-0.9882315009590087, -0.2986226595231216]"
2006-10-27,"[-0.9984899759292603, -0.6581921952476144, -0.2921627936539827, -0.9965354515158612]"
2006-10-30,"[-0.32106175375919715, -0.8307657241821289, -0.9630700768308437]"
2006-11-01,"[-0.9980857372283936, -0.9702904351669941, -0.007364509128352919]"
2006-11-02,"[-0.872213195942636, 0.886851221456656]"
2006-11-03,"[-0.9964690267510669, -0.9982330799102783, -0.7364315927349111]"
2006-11-07,"[0.862087781626754, -0.9920484735522159, 0.9803706388267867, -0.9174808790606838]"
2006-11-08,"[-0.9965259120382112, -0.993147075176239, -0.9934372305870056, -0.9163627699643624]"
2006-11-09,"[0.8405915201460985, -0.9983710261262042, -0.9793866802526597]"
2006-11-10,"[-0.9859817800139576, -0.9965564012527466, -0.9944288677839687]"
2006-11-13,"[-0.42477140218770804, -0.06222212023343923, -0.9891128516323686, 0.3535206312470664]"
2006-11-14,"[0.04116821338160231, -0.970896531235088]"
2006-11-15,[-0.8966111613567486]
2006-11-16,"[-0.30373730312419844, -0.9769009947776794]"
2006-11-17,[0.16273717547750105]
2006-11-20,"[-0.9281212454134563, -0.9983950594067573, 0.814674422454834]"
2006-11-21,"[-0.6134300080346472, -0.9987554550170898, -0.9907652435937273]"
2006-11-22,"[-0.9870821655306041, -0.92336058246423]"
2006-11-23,"[0.9894273891466603, -0.9970540973105743]"
2006-11-24,[-0.9843358564700476]
2006-11-27,[-0.9986213445663452]
2006-11-29,"[-0.45241614299661975, -0.9690736594515811]"
2006-11-30,[-0.7816968008786619]
2006-12-01,"[-0.7008578158713675, -0.9831959009170532]"
2006-12-04,[-0.9877896563547878]
2006-12-05,[-0.9886315513772574]
2006-12-06,[-0.9984306693077087]
2006-12-07,[0.7937288880348206]
2006-12-08,[0.5354815125465393]
2006-12-09,[-0.7314634246310008]
2006-12-11,"[-0.217972750040754, -0.9335341890720439, -0.9445185784337132]"
2006-12-12,[0.9317761063575745]
2006-12-13,[-0.9906173173189163]
2006-12-14,[-0.8940356205761963]
2006-12-15,"[0.6615377351038718, -0.9945856928825378]"
2006-12-18,"[0.9415988817811012, -0.7993644738601426]"
2006-12-19,"[-0.9916223883628845, 0.3592649290571997, -0.9976334138095658, -0.5558341327435325, -0.9912206530570984]"
2006-12-20,"[-0.9956905245780945, -0.9765450974873134]"
2006-12-21,[-0.9940856695175171]
2006-12-25,[-0.9824070930480957]
2006-12-26,[-0.9960331695771255]
2006-12-28,[-0.895765868541987]
2007-01-03,[0.99250727891922]
2007-01-04,"[-0.6891075993707667, -0.8021948325677194]"
2007-01-07,[-0.8495600520752431]
2007-01-08,"[-0.9922153172713302, -0.18982024240699014]"
