,sentiment_scores,times
0,[-0.2951875943717034],2006-10-20
1,[0.0],2006-10-21
2,"[0.0, 0.0]",2006-10-23
3,"[0.0, 0.0, 0.0, 0.0]",2006-10-24
4,"[0.0, 0.0]",2006-10-25
5,"[0.0, 0.0, 0.0, 0.0]",2006-10-27
6,"[0.0, 0.0, 0.0]",2006-10-30
7,"[0.0, 0.0, 0.0]",2006-11-01
8,"[-0.27930943769366084, 0.0]",2006-11-02
9,"[0.0, 0.0, 0.0]",2006-11-03
10,"[0.0, 0.0, 0.0, -0.16749854805648967]",2006-11-07
11,"[0.0, 0.0, 0.0, 0.0]",2006-11-08
12,"[0.40191266833985184, 0.0, 0.0]",2006-11-09
13,"[0.19348983120817675, 0.0, 0.0]",2006-11-10
14,"[0.0, 0.3090448966201063, 0.0, 0.20863805463482415]",2006-11-13
15,"[0.0, 0.0]",2006-11-14
16,[0.0],2006-11-15
17,"[0.0, 0.0]",2006-11-16
18,[0.0],2006-11-17
19,"[0.0, 0.0, 0.0]",2006-11-20
20,"[0.0, 0.0, 0.22348289223799733]",2006-11-21
21,"[0.0, 0.1421647920865203]",2006-11-22
22,"[0.23439306252104078, 0.0]",2006-11-23
23,[0.0],2006-11-24
24,[0.0],2006-11-27
25,"[0.11980941555663652, 0.0]",2006-11-29
26,[0.0],2006-11-30
27,"[0.0, 0.0]",2006-12-01
28,[0.108510736008765],2006-12-04
29,[0.0],2006-12-05
30,[0.0],2006-12-06
31,[0.0],2006-12-07
32,[0.0],2006-12-08
33,[0.0],2006-12-09
34,"[0.10506856840858907, 0.0, 0.0]",2006-12-11
35,[0.0],2006-12-12
36,[0.0],2006-12-13
37,[0.0],2006-12-14
38,"[0.0, 0.0]",2006-12-15
39,"[0.3411220867186785, 0.0]",2006-12-18
40,"[0.0, 0.0, 0.0, 0.0, 0.0]",2006-12-19
41,"[0.0, 0.0]",2006-12-20
42,[0.0],2006-12-21
43,[0.0],2006-12-25
44,[0.0],2006-12-26
45,[0.0],2006-12-28
46,[0.0],2007-01-03
47,"[0.0, 0.0]",2007-01-04
48,[0.0],2007-01-07
49,"[0.0, 0.0]",2007-01-08
50,"[0.0, -0.21869178693861216, 0.0, 0.0]",2007-01-09
51,"[0.0, 0.0]",2007-01-10
52,"[0.0, 0.0]",2007-01-11
53,[0.0],2007-01-12
54,[0.0],2007-01-16
55,"[0.0, 0.0, 0.0]",2007-01-18
56,[0.0],2007-01-19
57,"[0.16424942833453227, 0.0, 0.0]",2007-01-22
58,"[0.0, 0.0]",2007-01-23
59,"[0.0, 0.0, 0.0, 0.0]",2007-01-24
60,[0.0],2007-01-25
61,"[0.0, 0.0]",2007-01-26
62,[0.2533438647115553],2007-01-29
63,"[0.0, 0.0, 0.0, 0.0]",2007-01-30
64,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.17220470067617055]",2007-01-31
65,"[0.0, -0.19979439092719037]",2007-02-01
66,"[0.0, 0.0]",2007-02-02
67,[0.0],2007-02-03
68,[0.0],2007-02-04
69,"[0.0, 0.0, 0.0]",2007-02-05
70,"[0.0, 0.0]",2007-02-06
71,"[0.0, 0.0, 0.0]",2007-02-07
72,"[0.0, 0.0, 0.0, 0.08579565246752204, 0.36129843582541254]",2007-02-08
73,[0.0],2007-02-09
